Id,Influential,Kundan_follower,Kundan_following,Kundan_mentions_r,Kundan_retweets_r,Kundan_mentions_s,Kundan_retweets_s,Kundan_posts,Hritik_follower,Hritik_following,Hritik_mentions_r,Hritik_retweets_r,Hritik_mentions_s,Hritik_retweets_s,Hritik_posts
45,0,871652,140,133.213344879,56.0277473134,2.6225502905,1.1211602233,2.6225502905,232753,320,175.264776264,100.480819758,3.1084904768,1.6147168251,4.401918701
46,1,1481379,147521,0,902.07037931,0,12.05587584,10.4384603887,0.1005033585,193.072418229,750,997,2.2924645126,0.312365991,5.135357861
47,0,282305,2114,38.8128094277,14.1610399443,7.5188989033,0.8379415849,5.0101787474,242529,7561,242.63363551,106.676389127,7.1983304393,2.0405110851,10.073921354
48,0,5941,1615,39.5895711782,3.8664530784,1.5159530712,0.1005033585,1.2816907629,671,215,0.3543788993,0.1005033585,0.1005033585,0.1005033585,0.1005033585
49,0,1209835,3,86.8200838396,18.4581095795,0.1005033585,0.1005033585,0.1005033585,117913,1299,189.755229794,67.3102230393,11.2948306946,2.5672691674,10.9337661034
50,0,112,243,1.4451735361,0.1005033585,0.1005033585,0.1005033585,0.6031769292,254,341,6.5257924076,1.1579752375,1.3328979597,0.3518401439,1.5671602679
51,0,28613,3557,0.7514342508,0.2959984786,0.1005033585,0.1005033585,0.1005033585,266407,1592,660.897263062,297.090332679,28.2579999628,0.8396823434,20.7226649911
52,1,232753,320,175.264776264,100.480819758,3.1084904768,1.6147168251,4.401918701,102116,293,0,729.45163398,763.659739323,30.8299766589,8.5683669217
53,1,232753,320,175.264776264,100.480819758,3.1084904768,1.6147168251,4.401918701,71597,44262,10.4035634589,3.3653546397,0.5912056069,0.1005033585,5.0745674068
54,1,96531,87,81.5617342573,43.3214649545,6.5902451098,2.3391332378,12.0896446122,794,479,0.3060734589,0.3060734589,0.1005033585,0.1005033585,1.6219808872
55,0,356712,2070,24.8239103521,4.4681260342,2.144406357,0.6057667162,1.6270389073,508213,554,0,619.31076978,878.310233803,7.8286757017,2.2675742595
56,0,2696,1718,4.2370517539,0.3210566715,0.5861024521,0.1005033585,0.8374392375,71597,44262,10.4035634589,3.3653546397,0.5912056069,0.1005033585,5.0745674068
57,0,4760,425,5.0119622628,1.4078958975,0.1005033585,0.1005033585,0.1005033585,871652,140,133.213344879,56.0277473134,2.6225502905,1.1211602233,2.6225502905
58,0,11427,1951,31.2018970657,9.4677393212,12.7086399663,1.0914253809,16.9942186851,2256591,735,488.964332631,211.425789685,0.8657111642,0.3647929643,0.8477567418
59,1,392738,9364,258.523923974,124.471540448,7.4713396256,0.5959620807,10.999133619,48711,22845,61.9248042388,18.5789010899,0.1005033585,0.1005033585,0.1005033585
60,0,1404323,563,967.720641729,579.431127684,4.4737984918,0.8056802321,6.2418059403,3764,703,5.2706205371,1.6011585692,2.3383325606,0.1005033585,1.5965386702
61,0,671,215,0.3543788993,0.1005033585,0.1005033585,0.1005033585,0.1005033585,9093,672,11.1220209346,2.8135230448,15.1659349125,2.5386671759,7.0167592503
62,0,163145,906,182.175568401,78.0432023746,11.6076680412,3.59001979,9.6051545207,220242,357,452.547280711,140.0075344,13.439022061,3.0436932644,13.6479820066
63,0,16978,6715,0.3324230437,0.1005033585,0.1005033585,0.1005033585,3.3429985107,3638,3341,2.7935772011,1.4027026296,2.5940892677,0.5981501935,3.8021434159
64,1,224146,272,56.7252801893,11.8540570388,0.1005033585,0.1005033585,5.7829787543,9512,12,52.1670684554,23.1822884278,0.3621500682,0.1005033585,6.8060452592
65,1,1352348,331,0,129.8486618,0,552.7339915,2.0654180329,0.5809552537,16.2815024995,15385,673,55.9935458813,22.3219449455,6.9462332549
66,1,4491415,756,0,499.99625119,0,206.57189762,26.9669247433,12.6282827226,29.0698219532,127,106,1.0937724431,0.1005033585,0.3674625562
67,0,78083,679,165.594483553,89.1431564125,5.1862668448,2.4168313702,7.1793637855,143101,128686,874.212873202,347.630667262,4.4984706197,0.1005033585,34.9779777238
68,0,49326,42259,0.4523399003,0.275537618,0.1005033585,0.1005033585,0.1005033585,2273871,4524,0,782.40533805,0,944.52424508,12.9557232877
69,0,444,155,0.1005033585,0.1005033585,0.349326776,0.1005033585,0.349326776,1259676,337,908.649321529,211.33367097,12.0217812214,7.5656429402,12.7923814521
70,0,58090,6,98.9542408593,27.7975963377,0.7962624141,0.3324230437,0.3324230437,1525260,747,0,316.25953264,0,401.93976746,8.2571359615
71,1,5922518,483,0,758.403536,0,54.0555967,1.6124101103,0.1005033585,2.6316067544,7147,737,2.3329897267,0.7145563401,0.8621299808
72,1,480412,11948,0,795.52554643,685.575043835,4.5349874439,1.3181402227,15.8259155715,823481,2667,87.6076556937,28.673226189,6.6549459,2.6157942028
73,1,8168488,76,0,821.69423405,787.511274161,2.6052106632,0.5833695849,2.3816871119,1607541,93,389.533119657,217.628442156,0.3595336011,0.1005033585
74,1,7554,1711,21.6018659681,3.5816611274,6.7646570426,1.1197266986,4.5632463243,2403,1,40.2365533557,31.4587083471,51.6200048428,0.1005033585,42.6304263082
75,1,580544,2799,296.978205315,135.831428625,15.0330256841,4.8071798123,8.2620631267,5941,1615,39.5895711782,3.8664530784,1.5159530712,0.1005033585,1.2816907629
76,0,119001,119704,63.6032615837,17.010681516,11.2328519009,0.1005033585,6.6288967245,6225470,381,0,532.6022598,0,816.44753602,6.292393245
77,0,1354,375,12.8553419711,6.2141995443,3.2266005052,1.5378835392,3.2514564759,48777,858,247.238745401,74.1034922474,3.0316956548,1.8167461137,21.1756960799
78,1,4189,2094,6.6973655357,1.4256784241,4.4836072397,1.3329545746,3.7735534148,3525,3115,0.1005033585,0.1005033585,0.1005033585,0.1005033585,0.1005033585
79,1,4491415,756,0,499.99625119,0,206.57189762,26.9669247433,12.6282827226,29.0698219532,224146,272,56.7252801893,11.8540570388,0.1005033585
80,1,657,501,0.5272723048,0.1005033585,0.1005033585,0.1005033585,0.1005033585,1393,266,11.4793651371,2.5125562973,1.1085662116,0.3569432987,2.0941784262
81,1,120772,468,660.384085815,145.539331294,5.02997589,2.3138901451,6.3051161185,17842623,46964,0,377.1728978,0,728.95895108,0.3621500682
82,0,49326,42259,0.4523399003,0.275537618,0.1005033585,0.1005033585,0.1005033585,71597,44262,10.4035634589,3.3653546397,0.5912056069,0.1005033585,5.0745674068
83,1,138235,780,267.436511255,128.707882764,32.381551153,3.495342668,26.6084698024,173872,2804,346.547498255,85.7971306975,6.8129738838,1.3379152261,7.5746866876
84,0,22464,4513,42.8500346553,6.3879740206,9.1147446338,0.6017248645,9.1917860663,255630,385,68.974464744,32.9229057064,1.9864571563,0.1005033585,1.752194848
85,1,67736,30523,48.7654171991,14.0291133209,12.2462332026,0.1005033585,9.0001037092,5501,5908,7.1963894102,2.6357228664,1.7722887831,0.3419364717,0.8251929422
86,0,128305,213,140.038427023,77.7520497721,2.1495359303,0.1005033585,19.4340698837,196692,2339,710.749099844,310.219722086,9.7350973046,5.0926758166,17.02822609
87,0,11147,1500,40.5925124122,5.9230088067,19.6480644548,1.8617652072,12.2610292136,131920,364,651.765133792,170.153144385,4.801919843,0.3419364717,7.0540441627
88,1,70651,1529,119.252113283,26.7563556049,6.5153475245,2.0771315687,5.5026289639,12546,781,23.8953271754,9.018798513,1.82793239,0.8471998293,2.2930038083
89,0,501043,3289,307.805391227,72.5250702042,2.1036441131,0.6040911504,2.8324013765,364,927,0.5516804778,0.3102473647,0.8349808627,0.3395221406,0.8325906749
90,0,25360,20872,1.4825932255,0.716815998,1.083654212,1.083654212,2.5327443818,723800,328,0,695.43019461,317.463664979,3.5810568194,1.8582262703
91,1,804394,1370,0,881.48299573,0,13.64229512,22.683131263,2.3855379735,18.4209811988,5941,1615,39.5895711782,3.8664530784,1.5159530712
92,0,504004,3109,311.8003107,142.633228932,4.4860901625,1.0494079232,4.8068233239,864557,7352,0,744.73281891,0,311.50720366,14.2957902199
93,1,1834007,773,0,674.26690878,388.426427249,29.3318518028,7.3082934458,17.6597096249,1294,431,0.5552041679,0.1005033585,0.1005033585,0.1005033585
94,0,404679,3866,89.0150487336,10.4367800398,14.1894824157,0.8300950124,8.0708983647,263614,759,110.410259905,26.5571232737,1.623833794,0.1005033585,1.1186214679
95,1,10270,5625,74.5379654876,34.7487061203,0.1005033585,0.1005033585,3.3186452542,242529,7561,242.63363551,106.676389127,7.1983304393,2.0405110851,10.073921354
96,0,221,285,1.9886689613,0.290192078,0.3371319527,0.1005033585,0.3371319527,429,338,2.4400122354,0.3102473647,1.0650082206,0.1005033585,2.043207488
97,1,486540,260467,94.8866178462,52.6131963873,0.1005033585,0.1005033585,6.5661505439,6028,91,20.2490074809,4.0376259527,8.0774978493,2.1520228797,7.3748755743
98,0,254,534,3.4536485166,0.2773056408,0.8104847511,0.3419364717,1.2766667445,39262,848,40.4950207027,8.9436069153,3.2276769003,0.5643427289,1.0703207086
99,0,206818,15196,15.2101079964,4.3146589875,0.1005033585,0.1005033585,0.1005033585,1259676,337,908.649321529,211.33367097,12.0217812214,7.5656429402,12.7923814521
100,1,53678,1751,191.438869699,62.7249449229,0.1005033585,0.1005033585,0.1005033585,10270,5625,74.5379654876,34.7487061203,0.1005033585,0.1005033585,3.3186452542
101,1,10693,935,0.6344217539,0.3674625562,0.3674625562,0.1005033585,0.3674625562,4557,82,7.3376261649,4.3974973143,0.1005033585,0.1005033585,2.0920169577
102,1,298668,551,493.256379358,206.660552171,4.115212281,0.8545391021,3.0754628095,504004,3109,311.8003107,142.633228932,4.4860901625,1.0494079232,4.8068233239
103,1,462071,331717,201.098430037,136.251577298,0.1005033585,0.1005033585,0.1005033585,655,562,1.1513632017,0.1005033585,0.573760547,0.1005033585,0.5690516379
104,0,3106,3232,4.12499755,2.5711128009,0.1005033585,0.1005033585,1.1090679786,143101,128686,874.212873202,347.630667262,4.4984706197,0.1005033585,34.9779777238
105,1,9542820,2069,0,336.3582863,668.570800935,7.3769959697,1.8383807208,3.1136251344,236123,858,77.1935733839,23.9710764579,12.5416012889,2.5507250684
106,1,488553,38857,44.9295850425,5.1435657728,2.299665752,0.5714418257,2.2972755642,65264,956,226.763549906,72.1454053207,3.7816645324,2.0479372422,3.0637191965
107,1,173872,2804,346.547498255,85.7971306975,6.8129738838,1.3379152261,7.5746866876,1203,689,0.5810037842,0.5810037842,1.6427862594,0.1005033585,2.1531532873
108,1,78083,679,165.594483553,89.1431564125,5.1862668448,2.4168313702,7.1793637855,493,74,0.1005033585,0.1005033585,0.1005033585,0.1005033585,0.5959620807
109,1,126738,779,171.819555176,37.2942852658,4.411322664,1.5302224925,4.2028825849,223,168,0.349326776,0.349326776,0.1005033585,0.1005033585,0.1005033585
110,0,1424824,338,462.507298936,135.304121994,0.3347656668,0.3347656668,0.3347656668,6061284,24,410.052992763,36.8037586228,0.1005033585,0.1005033585,0.1005033585
111,0,2774790,20342,0,88.57716465,6.1830806789,0.8104606078,0.3395221406,1.0817573066,723800,328,0,695.43019461,317.463664979,3.5810568194
112,0,488553,38857,44.9295850425,5.1435657728,2.299665752,0.5714418257,2.2972755642,78083,679,165.594483553,89.1431564125,5.1862668448,2.4168313702,7.1793637855
113,0,4189,2094,6.6973655357,1.4256784241,4.4836072397,1.3329545746,3.7735534148,2273871,4524,0,782.40533805,0,944.52424508,12.9557232877
114,0,20,7,7.6908237318,0.2773056408,1.3315079797,0.1005033585,2.8306268013,739581,10723,102.026750104,96.7713185484,1.537321816,1.0543580385,3.467753982
115,0,4557,82,7.3376261649,4.3974973143,0.1005033585,0.1005033585,2.0920169577,9542820,2069,0,336.3582863,668.570800935,7.3769959697,1.8383807208
116,0,49326,42259,0.4523399003,0.275537618,0.1005033585,0.1005033585,0.1005033585,405315,128127,131.597627554,23.4538713842,7.3816125036,0.1005033585,7.4064162329
117,1,207,95,0.1005033585,0.1005033585,0.3569432987,0.1005033585,0.3569432987,27710,3018,24.621050056,3.8451583137,1.1419619243,0.8880863836,1.1419619243
118,0,2470,357,1.1264741305,0.3232844828,0.3371319527,0.3371319527,0.5961621953,4491415,756,0,499.99625119,0,206.57189762,26.9669247433
119,1,242529,7561,242.63363551,106.676389127,7.1983304393,2.0405110851,10.073921354,100151,31383,286.941738381,37.7999641202,6.6636151376,0.1005033585,8.464206735
120,1,98788,2354,385.79535532,172.183430066,8.3611127573,5.0922007269,10.7774189865,95,120,0.3569432987,0.1005033585,0.3569432987,0.3569432987,0.3569432987
121,1,7147,737,2.3329897267,0.7145563401,0.8621299808,0.1005033585,1.3575887029,95,120,0.3569432987,0.1005033585,0.3569432987,0.3569432987,0.3569432987
122,1,454514,1479,455.180615236,293.839558332,30.1880543966,0.1005033585,21.0631964465,119001,119704,63.6032615837,17.010681516,11.2328519009,0.1005033585,6.6288967245
123,1,48711,22845,61.9248042388,18.5789010899,0.1005033585,0.1005033585,0.1005033585,279,40,0.2940435274,0.2940435274,0.1005033585,0.1005033585,0.1005033585
124,1,132100,56571,388.210787203,13.7901207488,25.9219139652,0.3419364717,17.5938470236,20,7,7.6908237318,0.2773056408,1.3315079797,0.1005033585,2.8306268013
125,0,33669,29327,128.414854027,23.9196306635,6.5562550178,0.3395221406,12.2922053818,130850,3394,92.8696511202,16.5384838869,2.5480476154,0.1005033585,3.036687975
126,1,580544,2799,296.978205315,135.831428625,15.0330256841,4.8071798123,8.2620631267,9542820,2069,0,336.3582863,668.570800935,7.3769959697,1.8383807208
127,1,45589,862,148.854279232,36.998883856,27.8817679309,3.3334918042,23.8612817152,2403,1,40.2365533557,31.4587083471,51.6200048428,0.1005033585,42.6304263082
128,0,536,1985,0.3060734589,0.3060734589,0.1005033585,0.1005033585,0.8754177533,35632,1744,94.0006044221,40.5256732433,3.7621065542,0.34437519,3.777183529
129,1,517,268,3.960250221,0.2790915225,1.8037426167,0.3595336011,1.5549191992,49,210,0.1005033585,0.1005033585,0.1005033585,0.1005033585,0.1005033585
130,0,356712,2070,24.8239103521,4.4681260342,2.144406357,0.6057667162,1.6270389073,10693,935,0.6344217539,0.3674625562,0.3674625562,0.1005033585,0.3674625562
131,1,1834007,773,0,674.26690878,388.426427249,29.3318518028,7.3082934458,17.6597096249,20288,1568,34.2837900328,21.3172019582,1.3479674658,0.6007140826
132,0,628,921,3.9438483395,0.6185900083,4.769929665,0.8701361269,2.95323722,220242,357,452.547280711,140.0075344,13.439022061,3.0436932644,13.6479820066
133,0,2696,1718,4.2370517539,0.3210566715,0.5861024521,0.1005033585,0.8374392375,1097135,830,73.1656773765,19.8983664028,0.1005033585,0.1005033585,0.3518401439
134,0,209,454,0.6134091419,0.3543788993,0.1005033585,0.1005033585,0.1005033585,5501,5908,7.1963894102,2.6357228664,1.7722887831,0.3419364717,0.8251929422
135,0,6119,382,8.4859176989,3.2850584778,0.5859553702,0.1005033585,0.5859553702,282305,2114,38.8128094277,14.1610399443,7.5188989033,0.8379415849,5.0101787474
136,1,108768,57,0.7629784307,0.3060734589,3.6119396487,3.3705065355,10.6005015388,3106,3232,4.12499755,2.5711128009,0.1005033585,0.1005033585,1.1090679786
137,1,7185698,30,0,146.9564617,0,82.7435955,0.1005033585,0.1005033585,4.5023964135,25360,20872,1.4825932255,0.716815998,1.083654212
138,1,126738,779,171.819555176,37.2942852658,4.411322664,1.5302224925,4.2028825849,21,193,0.1005033585,0.1005033585,0.1005033585,0.1005033585,0.3518401439
139,1,11427,1951,31.2018970657,9.4677393212,12.7086399663,1.0914253809,16.9942186851,48711,22845,61.9248042388,18.5789010899,0.1005033585,0.1005033585,0.1005033585
140,0,78731,6212,97.3958422434,57.1797678825,13.8436437887,1.7886359685,12.6607555142,631958,674,614.96874489,329.330090956,4.0522789563,1.3405657729,12.3050354357
141,0,112,243,1.4451735361,0.1005033585,0.1005033585,0.1005033585,0.6031769292,266407,1592,660.897263062,297.090332679,28.2579999628,0.8396823434,20.7226649911
142,1,96531,87,81.5617342573,43.3214649545,6.5902451098,2.3391332378,12.0896446122,2696,1718,4.2370517539,0.3210566715,0.5861024521,0.1005033585,0.8374392375
143,1,671,215,0.3543788993,0.1005033585,0.1005033585,0.1005033585,0.1005033585,356712,2070,24.8239103521,4.4681260342,2.144406357,0.6057667162,1.6270389073
144,0,20,7,7.6908237318,0.2773056408,1.3315079797,0.1005033585,2.8306268013,206818,15196,15.2101079964,4.3146589875,0.1005033585,0.1005033585,0.1005033585
145,0,28613,3557,0.7514342508,0.2959984786,0.1005033585,0.1005033585,0.1005033585,541611,2140,0,418.36985923,981.459888729,13.9255848212,0.1005033585
146,0,132100,56571,388.210787203,13.7901207488,25.9219139652,0.3419364717,17.5938470236,21591,1179,90.4565058494,25.7982917525,5.7093286483,1.1111588222,5.1766200245
147,0,7147,737,2.3329897267,0.7145563401,0.8621299808,0.1005033585,1.3575887029,488553,38857,44.9295850425,5.1435657728,2.299665752,0.5714418257,2.2972755642
148,1,2745543,7828,349.819625135,107.081021087,0.6040911504,0.1005033585,2.3922013421,364,927,0.5516804778,0.3102473647,0.8349808627,0.3395221406,0.8325906749
149,1,58090,6,98.9542408593,27.7975963377,0.7962624141,0.3324230437,0.3324230437,11018,160,2.9289745107,0.8801967787,0.1005033585,0.1005033585,0.5908589259
150,1,725,645,4.1082987108,0.7096930615,1.5689093819,0.8347063702,1.8326649768,100,201,0.3518401439,0.1005033585,0.3518401439,0.1005033585,0.3518401439
151,0,3069,608,113.857624018,4.4579691963,4.272799947,0.3595336011,3.547587711,2499,1279,4.0711882227,1.4910578497,0.5931737252,0.3468385418,4.8198744407
152,1,58090,6,98.9542408593,27.7975963377,0.7962624141,0.3324230437,0.3324230437,631958,674,614.96874489,329.330090956,4.0522789563,1.3405657729,12.3050354357
153,1,125512,13701,267.703832628,94.3880680445,10.9862864413,1.3602046494,11.1684045527,4760,425,5.0119622628,1.4078958975,0.1005033585,0.1005033585,0.1005033585
154,1,54453,7688,115.323357245,22.752883155,16.8677184175,2.0924985043,10.746838393,254,534,3.4536485166,0.2773056408,0.8104847511,0.3419364717,1.2766667445
155,0,4189,2094,6.6973655357,1.4256784241,4.4836072397,1.3329545746,3.7735534148,196692,2339,710.749099844,310.219722086,9.7350973046,5.0926758166,17.02822609
156,0,794,479,0.3060734589,0.3060734589,0.1005033585,0.1005033585,1.6219808872,53678,1751,191.438869699,62.7249449229,0.1005033585,0.1005033585,0.1005033585
157,0,6375552,813,0,873.6009322,0,515.51517633,1.0352099685,0.1005033585,2.0390370997,10422587,147,0,892.91438777,678.010953505
158,0,7625,6067,13.5843900232,4.1014817855,4.5275513772,0.1005033585,3.7735076651,8391,453,2.4143953842,0.7979910276,0.5643427289,0.1005033585,0.5837598291
159,0,7147,737,2.3329897267,0.7145563401,0.8621299808,0.1005033585,1.3575887029,182598,1402,145.844909693,74.002957632,23.5491892963,0.1005033585,15.9532425551
160,0,53678,1751,191.438869699,62.7249449229,0.1005033585,0.1005033585,0.1005033585,1010,1014,0.9576896234,0.1005033585,1.0470177354,0.3371319527,0.3371319527
161,1,146298,49266,146.311226579,84.4510189798,1.3083555275,0.1005033585,4.0358259366,20288,1568,34.2837900328,21.3172019582,1.3479674658,0.6007140826,1.3659218883
162,1,125512,13701,267.703832628,94.3880680445,10.9862864413,1.3602046494,11.1684045527,24437,279,12.3557961024,7.1442667563,2.1357673116,0.5993822414,4.6663647751
163,1,32342,2622,64.641881773,21.4921308523,22.2502876588,0.5833695849,27.5128375473,871652,140,133.213344879,56.0277473134,2.6225502905,1.1211602233,2.6225502905
164,1,5342840,33401,0,73,636.23895,0,349.6742074,11.408839373,1.652900203,13.4852657683,182598,1402,145.844909693,74.002957632
165,1,20542,635,10.99055651,1.4546567443,1.0957970285,0.5981501935,2.0777180339,24437,279,12.3557961024,7.1442667563,2.1357673116,0.5993822414,4.6663647751
166,1,1481379,147521,0,902.07037931,0,12.05587584,10.4384603887,0.1005033585,193.072418229,627949,150866,246.40384554,74.7054295201,21.2609389965
167,1,28613,3557,0.7514342508,0.2959984786,0.1005033585,0.1005033585,0.1005033585,5685,942,30.131220894,1.6499776487,5.3123945176,0.1005033585,4.8191429483
168,0,7271,335,8.7866655883,5.8762309499,0.3674625562,0.1005033585,0.3674625562,1352348,331,0,129.8486618,0,552.7339915,2.0654180329
169,1,232753,320,175.264776264,100.480819758,3.1084904768,1.6147168251,4.401918701,177796,0,9.1483841077,5.3226945927,0.1005033585,0.1005033585,0.1005033585
